fico,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_util,total_acc,annual_inc,emp_length,home_ownership,loan_amnt,int_rate,term,grade,purpose,state_gdp_2012,default
697.0,20.43,0.0,0.0,0.0,43%,10.0,47000.0,,RENT,12000.0, 12.12%, 36 months,B,debt_consolidation,2144089.6,0
732.0,14.8,0.0,0.0,0.0,81.1%,19.0,36400.0,5 years,MORTGAGE,17625.0, 12.12%, 60 months,B,debt_consolidation,540882.4,0
747.0,28.02,0.0,1.0,0.0,45.6%,18.0,75000.0,10+ years,MORTGAGE,12500.0,  8.90%, 36 months,A,major_purchase,640663.1,0
677.0,20.65,0.0,2.0,0.0,67.4%,15.0,39000.0,5 years,RENT,16975.0, 16.29%, 36 months,C,debt_consolidation,296272.5,0
697.0,24.51,0.0,2.0,0.0,67.6%,18.0,52000.0,2 years,RENT,18000.0, 18.25%, 60 months,D,debt_consolidation,768722.9,0
672.0,10.88,0.0,0.0,0.0,34.8%,14.0,38169.6,1 year,RENT,11200.0, 13.99%, 36 months,C,debt_consolidation,444478.2,0
672.0,20.17,0.0,3.0,0.0,69.9%,21.0,42000.0,7 years,MORTGAGE,8875.0, 15.81%, 36 months,C,credit_card,296272.5,0
677.0,7.23,0.0,0.0,0.0,71.8%,16.0,40000.0,< 1 year,OWN,9500.0, 13.99%, 36 months,C,debt_consolidation,1410447.8,0
702.0,24.2,0.0,1.0,0.0,58%,27.0,60000.0,1 year,MORTGAGE,10000.0, 13.11%, 36 months,B,debt_consolidation,640663.1,0
667.0,11.46,0.0,0.0,0.0,78%,26.0,53000.0,7 years,OWN,26500.0, 23.26%, 60 months,F,debt_consolidation,1410447.8,0
687.0,24.57,0.0,0.0,0.0,58.1%,17.0,40000.0,6 years,RENT,11200.0, 12.12%, 36 months,B,credit_card,768722.9,0
707.0,26.33,0.0,1.0,0.0,57%,42.0,59000.0,5 years,RENT,8000.0, 19.22%, 36 months,D,debt_consolidation,1323400.8,0
702.0,19.68,0.0,0.0,0.0,77.7%,21.0,32000.0,6 years,MORTGAGE,16000.0, 17.99%, 60 months,D,debt_consolidation,768722.9,1
692.0,17.76,1.0,0.0,0.0,88.8%,15.0,49000.0,4 years,RENT,8725.0, 13.11%, 36 months,B,debt_consolidation,274540.5,0
767.0,7.44,2.0,0.0,0.0,2.7%,16.0,61100.0,4 years,RENT,3000.0,  6.62%, 36 months,A,medical,2144089.6,0
677.0,9.27,0.0,0.0,0.0,87%,6.0,33280.0,< 1 year,RENT,12375.0, 17.27%, 36 months,D,debt_consolidation,443566.1,0
692.0,14.51,0.0,1.0,0.0,32.8%,27.0,55000.0,10+ years,RENT,18400.0, 18.55%, 60 months,D,house,1410447.8,1
672.0,11.52,0.0,1.0,0.0,43.3%,14.0,40000.0,1 year,RENT,6400.0, 15.81%, 36 months,C,debt_consolidation,519569.0,0
707.0,14.77,0.0,1.0,0.0,51.3%,44.0,80000.0,2 years,RENT,9600.0, 13.11%, 36 months,B,debt_consolidation,244114.4,0
687.0,25.96,0.0,1.0,0.0,74.8%,20.0,41000.0,2 years,RENT,16200.0, 15.31%, 36 months,C,credit_card,519569.0,0
687.0,9.6,0.0,1.0,0.0,55.9%,13.0,40000.0,10+ years,RENT,7000.0, 13.11%, 36 months,B,house,2144089.6,0
702.0,13.12,0.0,0.0,0.0,77.5%,8.0,35500.0,5 years,MORTGAGE,5000.0, 17.99%, 60 months,D,other,768722.9,0
672.0,22.63,0.0,1.0,0.0,79.5%,17.0,50000.0,8 years,MORTGAGE,6500.0, 16.29%, 36 months,C,credit_card,640663.1,0
707.0,18.31,0.0,0.0,0.0,65.9%,14.0,55000.0,10+ years,MORTGAGE,17000.0, 14.65%, 60 months,C,credit_card,175328.5,1
697.0,30.97,0.0,0.0,1.0,57.2%,32.0,35450.0,1 year,RENT,7500.0, 14.65%, 60 months,C,other,2144089.6,0
707.0,1.76,0.0,0.0,0.0,34.5%,21.0,51724.0,9 years,MORTGAGE,25475.0, 18.25%, 60 months,D,home_improvement,768722.9,0
792.0,20.14,0.0,2.0,0.0,6.5%,29.0,140000.0,3 years,MORTGAGE,35000.0, 13.67%, 60 months,B,small_business,439539.7,0
772.0,13.59,0.0,0.0,0.0,33.1%,21.0,121000.0,2 years,MORTGAGE,18000.0, 10.74%, 60 months,B,debt_consolidation,233481.2,0
672.0,5.19,0.0,0.0,0.0,73.2%,13.0,117000.0,4 years,RENT,6000.0, 13.11%, 36 months,B,debt_consolidation,1323400.8,0
672.0,11.38,0.0,0.0,0.0,60.2%,15.0,35000.0,4 years,RENT,17050.0, 18.25%, 36 months,D,credit_card,273593.9,0
662.0,20.8,4.0,3.0,0.0,65%,17.0,36000.0,5 years,RENT,3600.0, 16.29%, 36 months,C,debt_consolidation,1323400.8,1
727.0,11.28,0.0,0.0,0.0,37%,12.0,25000.0,2 years,RENT,9600.0,  7.62%, 36 months,A,credit_card,268861.9,0
662.0,20.77,0.0,1.0,0.0,69.4%,21.0,55000.0,6 years,RENT,5000.0, 16.29%, 36 months,C,debt_consolidation,1410447.8,0
702.0,7.88,0.0,0.0,0.0,43.6%,26.0,39000.0,5 years,RENT,8000.0, 10.74%, 36 months,B,debt_consolidation,2144089.6,0
667.0,20.45,0.0,0.0,0.0,65.6%,20.0,45240.0,,RENT,18000.0, 18.25%, 36 months,D,debt_consolidation,296272.5,0
677.0,24.49,0.0,0.0,0.0,53.5%,45.0,22000.0,5 years,RENT,3000.0, 19.22%, 36 months,D,debt_consolidation,174427.6,0
702.0,32.35,0.0,0.0,0.0,38.8%,27.0,45000.0,5 years,RENT,12000.0, 10.74%, 36 months,B,credit_card,296272.5,0
737.0,9.94,1.0,1.0,0.0,0.2%,25.0,55800.0,2 years,MORTGAGE,4400.0,  7.90%, 36 months,A,major_purchase,107718.8,0
707.0,31.59,0.0,2.0,0.0,59.8%,28.0,36000.0,10+ years,RENT,7350.0, 10.74%, 36 months,B,debt_consolidation,1323400.8,0
702.0,8.5,0.0,0.0,0.0,47.6%,14.0,35000.0,10+ years,MORTGAGE,4800.0,  8.90%, 36 months,A,home_improvement,768722.9,0
677.0,10.18,0.0,1.0,0.0,46.7%,28.0,90000.0,7 years,MORTGAGE,5000.0, 13.99%, 36 months,C,home_improvement,768722.9,0
707.0,21.9,0.0,0.0,0.0,61.3%,26.0,40000.0,6 years,MORTGAGE,11850.0,  9.76%, 36 months,B,credit_card,1410447.8,0
702.0,14.4,0.0,0.0,0.0,51.3%,18.0,45000.0,6 years,MORTGAGE,2500.0,  8.90%, 36 months,A,medical,540882.4,0
712.0,13.47,0.0,0.0,0.0,91.1%,17.0,67000.0,10+ years,MORTGAGE,14800.0, 12.12%, 36 months,B,credit_card,2144089.6,0
707.0,14.03,0.0,0.0,0.0,39.1%,21.0,55000.0,8 years,MORTGAGE,21850.0, 17.99%, 60 months,D,debt_consolidation,443566.1,0
712.0,15.72,0.0,1.0,0.0,51.5%,17.0,50000.0,9 years,RENT,15175.0, 13.11%, 36 months,B,debt_consolidation,1323400.8,0
672.0,33.69,0.0,1.0,0.0,61.4%,34.0,40000.0,8 years,MORTGAGE,10000.0, 15.81%, 36 months,C,other,2144089.6,0
777.0,17.63,0.0,0.0,0.0,15.2%,14.0,55000.0,1 year,RENT,7000.0,  6.03%, 36 months,A,major_purchase,768722.9,0
682.0,21.92,0.0,0.0,0.0,70.8%,19.0,41000.0,10+ years,RENT,16650.0, 13.99%, 36 months,C,debt_consolidation,445120.7,0
692.0,31.7,0.0,0.0,0.0,46.2%,10.0,24000.0,4 years,RENT,8000.0, 12.12%, 36 months,B,debt_consolidation,2144089.6,0
667.0,24.89,0.0,0.0,0.0,92.7%,14.0,35000.0,8 years,OWN,6625.0, 17.99%, 36 months,D,debt_consolidation,2144089.6,0
722.0,11.34,0.0,0.0,0.0,49.5%,7.0,44000.0,4 years,OWN,9950.0,  8.90%, 36 months,A,home_improvement,2144089.6,0
712.0,17.15,0.0,3.0,0.0,8.6%,17.0,38000.0,2 years,MORTGAGE,18825.0, 13.67%, 36 months,B,wedding,268068.2,0
677.0,12.62,2.0,0.0,0.0,16.5%,29.0,39000.0,5 years,RENT,9600.0, 13.11%, 36 months,B,debt_consolidation,2144089.6,0
677.0,17.79,0.0,1.0,0.0,85.8%,48.0,80000.0,2 years,MORTGAGE,19900.0, 19.99%, 60 months,E,debt_consolidation,400623.3,0
667.0,20.4,0.0,2.0,0.0,43.5%,17.0,30000.0,10+ years,RENT,5000.0, 17.27%, 36 months,D,debt_consolidation,1323400.8,0
692.0,11.39,1.0,0.0,0.0,83.8%,21.0,110000.0,10+ years,MORTGAGE,22800.0, 19.22%, 60 months,D,debt_consolidation,233481.2,1
697.0,20.68,0.0,0.0,0.0,72.4%,17.0,40500.0,7 years,RENT,19750.0, 18.25%, 60 months,D,debt_consolidation,768722.9,0
692.0,9.9,0.0,0.0,0.0,67.7%,48.0,101700.0,10+ years,OWN,28000.0, 20.50%, 60 months,E,other,519569.0,1
697.0,8.43,0.0,2.0,0.0,41%,35.0,82000.0,10+ years,RENT,8000.0, 13.67%, 36 months,B,other,720881.5,0
687.0,7.95,0.0,0.0,0.0,54.8%,17.0,37344.0,,MORTGAGE,7775.0, 12.12%, 36 months,B,credit_card,640663.1,0
762.0,8.73,0.0,0.0,0.0,42.8%,37.0,84000.0,10+ years,MORTGAGE,20000.0, 10.74%, 60 months,B,debt_consolidation,444478.2,0
732.0,10.27,0.0,2.0,0.0,72.2%,45.0,180000.0,10+ years,MORTGAGE,16000.0, 13.99%, 60 months,C,debt_consolidation,2144089.6,0
687.0,20.61,0.0,1.0,0.0,51.3%,46.0,45000.0,3 years,RENT,11000.0, 13.99%, 36 months,C,debt_consolidation,540882.4,0
672.0,13.51,2.0,2.0,0.0,67.9%,39.0,150000.0,10+ years,MORTGAGE,35000.0, 23.13%, 60 months,F,debt_consolidation,1323400.8,1
767.0,0.22,0.0,1.0,0.0,1%,8.0,138144.0,2 years,MORTGAGE,7000.0,  7.62%, 36 months,A,major_purchase,2144089.6,0
667.0,7.26,0.0,2.0,0.0,44.5%,10.0,40000.0,3 years,RENT,7675.0, 17.99%, 36 months,D,debt_consolidation,61866.7,0
717.0,23.38,0.0,3.0,0.0,0%,21.0,115000.0,6 years,RENT,20000.0, 16.29%, 60 months,C,house,334555.5,0
692.0,6.7,0.0,0.0,0.0,32.1%,9.0,140000.0,1 year,RENT,24375.0, 17.27%, 36 months,D,debt_consolidation,1323400.8,0
682.0,10.52,0.0,0.0,0.0,93%,17.0,78500.0,10+ years,OWN,12000.0, 13.99%, 36 months,C,debt_consolidation,1323400.8,0
742.0,15.44,0.0,2.0,0.0,17.4%,12.0,25000.0,3 years,RENT,4000.0,  7.62%, 36 months,A,major_purchase,2144089.6,0
712.0,11.21,0.0,0.0,0.0,53%,15.0,145000.0,2 years,RENT,35000.0, 20.50%, 60 months,E,debt_consolidation,1323400.8,0
717.0,24.09,0.0,0.0,0.0,36.7%,17.0,64000.0,10+ years,MORTGAGE,8000.0,  8.90%, 36 months,A,major_purchase,540882.4,0
722.0,9.5,0.0,1.0,0.0,28.6%,38.0,56000.0,,MORTGAGE,5000.0,  7.90%, 36 months,A,debt_consolidation,2144089.6,0
717.0,20.0,0.0,0.0,0.0,6.8%,22.0,42000.0,5 years,RENT,9000.0,  8.90%, 36 months,A,debt_consolidation,1323400.8,0
697.0,11.71,2.0,1.0,0.0,36.1%,42.0,120000.0,7 years,MORTGAGE,10000.0, 13.67%, 36 months,B,debt_consolidation,640663.1,0
687.0,7.46,0.0,3.0,0.0,49.5%,18.0,120000.0,4 years,MORTGAGE,14825.0, 14.65%, 36 months,C,debt_consolidation,443566.1,0
667.0,23.73,3.0,3.0,0.0,,28.0,40200.0,1 year,RENT,2500.0, 20.50%, 36 months,E,debt_consolidation,640663.1,0
672.0,23.09,0.0,2.0,0.0,58.6%,15.0,50000.0,1 year,RENT,10000.0, 17.27%, 36 months,D,credit_card,233481.2,1
697.0,26.66,0.0,1.0,0.0,92.6%,29.0,75000.0,9 years,RENT,8000.0, 14.65%, 36 months,C,debt_consolidation,720881.5,1
687.0,20.38,0.0,0.0,0.0,78.4%,36.0,90000.0,10+ years,RENT,12000.0, 12.12%, 36 months,B,debt_consolidation,2144089.6,0
677.0,10.94,0.0,1.0,0.0,82.3%,12.0,35000.0,3 years,RENT,8325.0, 15.31%, 36 months,C,debt_consolidation,768722.9,1
677.0,15.34,0.0,0.0,0.0,8.3%,21.0,34000.0,10+ years,RENT,2500.0, 12.12%, 36 months,B,debt_consolidation,720881.5,0
667.0,11.58,0.0,0.0,0.0,57.1%,27.0,85000.0,10+ years,MORTGAGE,16000.0, 21.48%, 60 months,E,debt_consolidation,519569.0,0
692.0,16.22,0.0,0.0,0.0,71.8%,17.0,65000.0,5 years,RENT,8000.0, 12.12%, 36 months,B,debt_consolidation,2144089.6,0
757.0,21.06,0.0,1.0,0.0,17%,19.0,58000.0,8 years,RENT,18000.0, 13.11%, 60 months,B,debt_consolidation,439539.7,0
707.0,12.18,0.0,0.0,0.0,37.9%,27.0,74600.0,10+ years,MORTGAGE,5750.0,  8.90%, 36 months,A,debt_consolidation,2144089.6,0
672.0,12.49,0.0,1.0,0.0,95.7%,23.0,22000.0,2 years,MORTGAGE,3750.0, 17.99%, 36 months,D,credit_card,400623.3,1
727.0,22.65,0.0,1.0,0.0,61.3%,15.0,56000.0,7 years,RENT,8875.0,  7.90%, 36 months,A,debt_consolidation,443566.1,0
697.0,24.51,0.0,0.0,0.0,89.5%,14.0,34807.0,10+ years,RENT,4000.0, 10.74%, 36 months,B,other,519569.0,0
667.0,18.72,0.0,0.0,0.0,53.2%,15.0,40700.0,3 years,RENT,4100.0, 13.67%, 36 months,B,debt_consolidation,244114.4,0
677.0,14.34,2.0,0.0,0.0,88.9%,21.0,76000.0,10+ years,MORTGAGE,12000.0, 13.99%, 36 months,C,debt_consolidation,439539.7,0
662.0,23.88,0.0,0.0,0.0,81.4%,26.0,72000.0,10+ years,MORTGAGE,20000.0, 22.78%, 60 months,F,debt_consolidation,233481.2,0
707.0,6.51,0.0,0.0,0.0,81.2%,12.0,35000.0,6 years,MORTGAGE,7750.0, 10.74%, 36 months,B,debt_consolidation,128764.2,1
707.0,15.88,0.0,0.0,0.0,50.7%,15.0,90000.0,10+ years,RENT,24000.0, 13.11%, 36 months,B,debt_consolidation,2144089.6,0
692.0,24.75,0.0,1.0,0.0,96%,10.0,47700.0,5 years,RENT,10000.0, 16.29%, 36 months,C,debt_consolidation,1323400.8,0
687.0,19.27,0.0,2.0,0.0,73.7%,14.0,85000.0,1 year,MORTGAGE,11900.0, 13.99%, 36 months,C,other,1410447.8,0
677.0,15.52,0.0,0.0,0.0,80.9%,17.0,115000.0,7 years,MORTGAGE,16000.0, 14.65%, 36 months,C,debt_consolidation,439539.7,0
677.0,21.02,0.0,0.0,1.0,55.4%,8.0,27000.0,7 years,RENT,1950.0, 12.12%, 36 months,B,house,69335.6,0
702.0,13.35,1.0,1.0,0.0,51.7%,62.0,80000.0,1 year,MORTGAGE,29700.0, 19.99%, 60 months,E,debt_consolidation,439539.7,0
662.0,18.26,0.0,0.0,0.0,78.9%,9.0,50000.0,2 years,RENT,7000.0, 17.99%, 36 months,D,credit_card,640663.1,0
667.0,13.8,0.0,0.0,0.0,63.8%,26.0,89900.0,10+ years,RENT,4200.0, 13.67%, 36 months,B,medical,2144089.6,0
757.0,5.89,1.0,0.0,0.0,4.1%,33.0,85000.0,5 years,MORTGAGE,25000.0,  7.90%, 36 months,A,credit_card,1410447.8,0
682.0,25.95,0.0,0.0,0.0,95.4%,18.0,39000.0,6 years,MORTGAGE,3000.0, 13.99%, 36 months,C,major_purchase,274540.5,1
692.0,22.1,0.0,0.0,0.0,49.6%,25.0,50000.0,8 years,MORTGAGE,14900.0, 12.12%, 36 months,B,credit_card,273593.9,0
727.0,15.52,0.0,0.0,0.0,46.5%,33.0,98000.0,5 years,MORTGAGE,25000.0,  9.76%, 36 months,B,debt_consolidation,720881.5,0
692.0,16.25,0.0,0.0,0.0,35.2%,33.0,80000.0,10+ years,OWN,14000.0, 12.12%, 36 months,B,debt_consolidation,443566.1,0
692.0,13.48,1.0,3.0,0.0,72.3%,19.0,60000.0,5 years,RENT,6000.0, 13.11%, 36 months,B,other,2144089.6,0
662.0,33.81,0.0,1.0,0.0,83.9%,16.0,23600.0,4 years,RENT,2500.0, 15.81%, 36 months,C,credit_card,720881.5,1
687.0,8.3,0.0,0.0,0.0,67.2%,13.0,43500.0,4 years,RENT,7200.0, 12.12%, 36 months,B,credit_card,1323400.8,0
782.0,13.18,0.0,1.0,0.0,57.7%,20.0,53000.0,6 years,MORTGAGE,13000.0,  6.03%, 36 months,A,credit_card,1323400.8,0
692.0,11.53,0.0,0.0,0.0,51%,29.0,46300.0,1 year,MORTGAGE,17625.0, 18.55%, 60 months,D,debt_consolidation,439539.7,0
707.0,18.02,0.0,1.0,0.0,61.6%,40.0,100200.0,6 years,MORTGAGE,24000.0, 18.25%, 60 months,D,debt_consolidation,418742.3,0
732.0,23.44,0.0,0.0,0.0,52.8%,34.0,95000.0,3 years,MORTGAGE,30000.0, 14.65%, 60 months,C,debt_consolidation,439539.7,0
677.0,15.88,0.0,1.0,0.0,63.8%,10.0,60000.0,10+ years,RENT,9000.0, 15.31%, 36 months,C,credit_card,1323400.8,0
677.0,30.4,0.0,0.0,0.0,72.8%,42.0,60000.0,10+ years,RENT,29100.0, 22.78%, 60 months,F,debt_consolidation,2144089.6,1
667.0,16.18,0.0,1.0,0.0,68.4%,15.0,60000.0,8 years,MORTGAGE,12000.0, 17.27%, 36 months,D,debt_consolidation,174427.6,1
712.0,17.78,2.0,3.0,0.0,50%,31.0,60000.0,,MORTGAGE,12825.0, 10.74%, 36 months,B,debt_consolidation,418742.3,0
687.0,6.82,0.0,0.0,0.0,55.7%,19.0,72000.0,10+ years,OWN,12000.0, 13.11%, 36 months,B,credit_card,444478.2,0
797.0,0.49,0.0,0.0,0.0,7.9%,6.0,61096.0,4 years,RENT,4800.0,  7.90%, 36 months,A,car,2144089.6,0
677.0,2.26,0.0,1.0,0.0,45.2%,17.0,85000.0,2 years,MORTGAGE,3125.0, 13.99%, 36 months,C,major_purchase,640663.1,0
677.0,18.98,0.0,2.0,0.0,70.2%,32.0,64000.0,5 years,MORTGAGE,8325.0, 14.65%, 36 months,C,debt_consolidation,768722.9,0
712.0,25.18,0.0,2.0,0.0,84.8%,25.0,64000.0,10+ years,MORTGAGE,20400.0, 16.29%, 60 months,C,credit_card,28893.6,0
672.0,23.43,0.0,0.0,0.0,88.2%,46.0,74000.0,10+ years,MORTGAGE,20000.0, 22.45%, 60 months,F,debt_consolidation,244114.4,0
677.0,17.92,0.0,2.0,0.0,73.1%,33.0,95000.0,10+ years,RENT,35000.0, 22.78%, 60 months,F,debt_consolidation,640663.1,0
697.0,27.46,0.0,0.0,0.0,74.6%,31.0,44448.0,10+ years,MORTGAGE,15000.0, 13.11%, 36 months,B,credit_card,175328.5,0
702.0,30.22,0.0,3.0,0.0,29.7%,12.0,43000.0,2 years,MORTGAGE,3075.0, 10.74%, 36 months,B,debt_consolidation,173238.8,0
677.0,15.83,0.0,0.0,0.0,45.1%,14.0,80000.0,3 years,MORTGAGE,24000.0, 18.55%, 36 months,D,credit_card,334555.5,0
702.0,27.23,0.0,0.0,0.0,51.7%,19.0,39000.0,4 years,MORTGAGE,10000.0, 10.74%, 36 months,B,debt_consolidation,1323400.8,0
702.0,13.89,0.0,0.0,0.0,31.2%,12.0,40000.0,3 years,MORTGAGE,12375.0, 10.74%, 36 months,B,home_improvement,51607.4,1
717.0,10.24,0.0,0.0,0.0,30%,10.0,15000.0,2 years,MORTGAGE,4750.0,  7.90%, 36 months,A,credit_card,296272.5,0
702.0,29.89,0.0,0.0,0.0,54.1%,17.0,34000.0,3 years,MORTGAGE,10000.0, 10.74%, 36 months,B,debt_consolidation,640663.1,0
697.0,14.43,2.0,1.0,1.0,52.4%,24.0,120000.0,3 years,MORTGAGE,9125.0, 13.67%, 36 months,B,small_business,1410447.8,0
702.0,25.77,0.0,0.0,0.0,96.2%,7.0,38000.0,10+ years,OWN,2400.0, 13.67%, 36 months,B,debt_consolidation,38437.7,0
742.0,14.8,0.0,1.0,0.0,53.5%,23.0,85000.0,10+ years,RENT,22250.0, 13.67%, 60 months,B,other,1410447.8,0
667.0,16.43,0.0,1.0,0.0,75.4%,21.0,32359.0,2 years,RENT,16000.0, 21.97%, 60 months,E,debt_consolidation,400623.3,1
712.0,13.85,0.0,1.0,0.0,35%,32.0,52000.0,10+ years,MORTGAGE,10000.0, 12.12%, 36 months,B,credit_card,2144089.6,0
682.0,22.83,0.0,3.0,0.0,63.9%,15.0,91000.0,7 years,MORTGAGE,23325.0, 20.50%, 60 months,E,home_improvement,768722.9,1
662.0,26.4,0.0,3.0,0.0,61.2%,21.0,11000.0,,RENT,2875.0, 16.29%, 36 months,C,debt_consolidation,720881.5,1
667.0,12.98,0.0,0.0,0.0,82.3%,17.0,120000.0,5 years,MORTGAGE,6000.0, 13.99%, 36 months,C,home_improvement,38437.7,0
687.0,23.37,0.0,2.0,0.0,64.9%,27.0,78000.0,2 years,RENT,32875.0, 18.55%, 36 months,D,debt_consolidation,1410447.8,0
722.0,23.39,0.0,1.0,0.0,67.6%,15.0,65000.0,5 years,RENT,14400.0, 10.74%, 36 months,B,credit_card,400623.3,1
737.0,19.39,0.0,0.0,0.0,55.3%,16.0,56000.0,7 years,MORTGAGE,9750.0,  6.62%, 36 months,A,debt_consolidation,38437.7,0
712.0,15.86,0.0,2.0,0.0,67.9%,20.0,75000.0,8 years,MORTGAGE,19125.0, 15.81%, 60 months,C,small_business,540882.4,0
712.0,11.25,0.0,1.0,0.0,48.9%,27.0,115000.0,5 years,MORTGAGE,22000.0, 16.29%, 60 months,C,debt_consolidation,519569.0,0
687.0,29.11,0.0,2.0,0.0,51.2%,36.0,40000.0,1 year,RENT,4000.0, 15.81%, 60 months,C,debt_consolidation,519569.0,0
667.0,11.46,0.0,0.0,0.0,67.9%,12.0,40000.0,,RENT,8000.0, 14.65%, 36 months,C,debt_consolidation,1323400.8,1
822.0,7.97,0.0,0.0,0.0,10.2%,26.0,105000.0,8 years,MORTGAGE,6000.0,  6.03%, 36 months,A,home_improvement,2144089.6,0
687.0,9.02,0.0,0.0,0.0,63.6%,23.0,98000.0,10+ years,RENT,3600.0, 12.12%, 36 months,B,other,768722.9,1
717.0,15.98,0.0,3.0,0.0,26.7%,28.0,60000.0,5 years,OWN,16000.0, 15.81%, 60 months,C,debt_consolidation,1323400.8,1
662.0,20.73,0.0,1.0,0.0,71.8%,25.0,33000.0,2 years,OWN,4900.0, 17.27%, 36 months,D,credit_card,720881.5,0
697.0,32.73,0.0,0.0,0.0,82.3%,9.0,53100.0,10+ years,OWN,12000.0, 12.12%, 36 months,B,debt_consolidation,720881.5,0
727.0,20.12,0.0,0.0,0.0,54.3%,16.0,91000.0,10+ years,OWN,10000.0,  7.90%, 36 months,A,other,1323400.8,0
722.0,13.59,0.0,1.0,0.0,76.1%,25.0,72500.0,8 years,MORTGAGE,20000.0, 16.29%, 60 months,C,debt_consolidation,720881.5,0
692.0,3.73,0.0,1.0,0.0,95.4%,12.0,85000.0,2 years,RENT,6000.0, 17.99%, 36 months,D,debt_consolidation,519569.0,1
777.0,16.65,0.0,0.0,0.0,12.4%,9.0,57000.0,5 years,MORTGAGE,12300.0,  6.03%, 36 months,A,debt_consolidation,1323400.8,0
682.0,23.9,0.0,0.0,0.0,90.7%,20.0,24000.0,10+ years,OWN,11575.0, 13.99%, 36 months,C,debt_consolidation,418742.3,1
702.0,16.88,0.0,2.0,0.0,49.8%,19.0,80000.0,1 year,OWN,20000.0, 13.99%, 36 months,C,debt_consolidation,1323400.8,0
697.0,9.72,0.0,1.0,0.0,41.1%,20.0,40000.0,6 years,RENT,15000.0, 14.65%, 36 months,C,debt_consolidation,519569.0,0
672.0,33.49,0.0,0.0,0.0,43.4%,28.0,44000.0,7 years,RENT,11200.0, 13.99%, 36 months,C,debt_consolidation,1410447.8,0
687.0,20.15,0.0,0.0,0.0,65.2%,7.0,48000.0,3 years,RENT,9500.0, 13.11%, 36 months,B,major_purchase,439539.7,0
697.0,27.54,0.0,3.0,0.0,73.7%,19.0,130000.0,< 1 year,MORTGAGE,14000.0, 13.67%, 36 months,B,credit_card,439539.7,0
707.0,21.5,0.0,1.0,0.0,73.1%,23.0,35000.0,7 years,RENT,9500.0, 13.11%, 36 months,B,debt_consolidation,768722.9,0
697.0,22.76,0.0,2.0,0.0,37.5%,18.0,41000.0,8 years,RENT,6425.0, 15.31%, 60 months,C,debt_consolidation,128764.2,1
682.0,17.27,1.0,0.0,0.0,45.2%,63.0,85000.0,2 years,MORTGAGE,21600.0, 19.22%, 60 months,D,debt_consolidation,334555.5,1
692.0,20.24,0.0,0.0,0.0,92.3%,20.0,45000.0,10+ years,MORTGAGE,10000.0, 13.67%, 36 months,B,home_improvement,296272.5,0
767.0,13.53,0.0,0.0,0.0,16.3%,29.0,35000.0,7 years,MORTGAGE,10225.0,  6.03%, 36 months,A,debt_consolidation,296272.5,0
662.0,20.79,0.0,0.0,0.0,87.5%,29.0,55000.0,< 1 year,RENT,16500.0, 22.45%, 60 months,F,credit_card,176323.1,0
687.0,33.42,0.0,0.0,0.0,75.6%,30.0,47000.0,5 years,MORTGAGE,10750.0, 12.12%, 36 months,B,debt_consolidation,186553.9,1
707.0,21.62,0.0,1.0,0.0,82.9%,16.0,75000.0,10+ years,OWN,12000.0, 12.12%, 36 months,B,home_improvement,768722.9,0
677.0,16.86,1.0,2.0,0.0,76.7%,22.0,82500.0,6 years,MORTGAGE,20000.0, 20.99%, 60 months,E,debt_consolidation,444478.2,0
722.0,25.84,0.0,1.0,0.0,51.2%,20.0,36000.0,1 year,RENT,6000.0,  8.90%, 36 months,A,debt_consolidation,640663.1,0
707.0,9.36,0.0,1.0,0.0,40.5%,15.0,45000.0,4 years,RENT,8800.0, 12.12%, 36 months,B,credit_card,1323400.8,0
722.0,16.67,0.0,1.0,0.0,8.7%,11.0,250000.0,10+ years,MORTGAGE,5000.0, 10.74%, 36 months,B,moving,1323400.8,0
692.0,29.5,0.0,0.0,0.0,95.8%,16.0,58000.0,10+ years,MORTGAGE,14825.0, 14.65%, 36 months,C,debt_consolidation,519569.0,0
667.0,13.25,0.0,0.0,0.0,89.3%,12.0,50000.0,< 1 year,RENT,12375.0, 17.99%, 36 months,D,debt_consolidation,519569.0,1
677.0,24.9,0.0,0.0,0.0,97.6%,28.0,44000.0,1 year,RENT,1200.0, 18.55%, 36 months,D,wedding,2144089.6,0
712.0,21.94,0.0,0.0,0.0,64.5%,11.0,35550.0,< 1 year,RENT,17625.0, 12.12%, 36 months,B,credit_card,69335.6,0
692.0,17.54,0.0,1.0,0.0,66.6%,38.0,64000.0,2 years,MORTGAGE,15850.0, 14.65%, 36 months,C,debt_consolidation,768722.9,1
702.0,21.98,0.0,0.0,0.0,97.6%,22.0,70000.0,8 years,RENT,20000.0, 14.65%, 36 months,C,debt_consolidation,2144089.6,0
672.0,14.23,0.0,1.0,0.0,81.6%,32.0,90000.0,10+ years,RENT,35000.0, 23.26%, 60 months,F,debt_consolidation,2144089.6,0
672.0,7.03,0.0,1.0,0.0,90.1%,11.0,110000.0,< 1 year,RENT,35000.0, 22.45%, 36 months,F,debt_consolidation,2144089.6,0
717.0,10.35,0.0,1.0,0.0,62%,17.0,121000.0,2 years,MORTGAGE,22000.0, 13.11%, 36 months,B,debt_consolidation,233481.2,0
667.0,17.43,0.0,0.0,0.0,74.2%,10.0,42000.0,2 years,RENT,8000.0, 14.65%, 36 months,C,moving,268068.2,0
